,mnc,rating,reviews
153,Bosch,4.1,(4.8k)
154,Intas Pharmaceuticals,4.1,(4.7k)
155,Hetero,3.9,(4.7k)
156,Havells,3.9,(4.7k)
157,L&T Finance,3.9,(4.7k)
158,Aditya Birla Fashion and Retail,4.0,(4.7k)
159,Hewlett Packard Enterprise,4.0,(4.7k)
160,R1 RCM,3.8,(4.7k)
161,Tata AIA Life Insurance,3.8,(4.7k)
162,Cars24,3.4,(4.7k)
163,Mahindra Logistics,3.7,(4.6k)
164,Dell,3.8,(4.6k)
165,Home Credit Finance,4.0,(4.6k)
166,Berger Paints,3.7,(4.6k)
167,Lenskart,3.3,(4.6k)
168,Deutsche Bank,3.8,(4.6k)
169,Motilal Oswal Financial Services,3.7,(4.5k)
170,OPPO,3.9,(4.5k)
171,Hyundai Motor India Limited,4.1,(4.5k)
172,TeamLease Services,3.9,(4.5k)
173,VE Commercial Vehicles,3.9,(4.4k)
174,Thermax Limited,4.2,(4.4k)
175,Jubilant Foods Works,3.7,(4.3k)
176,Carelon Global Solutions,3.9,(4.3k)
177,Macleods Pharmaceuticals,3.7,(4.3k)
178,Aakash Educational Services,3.2,(4.3k)
179,Jindal Steel Limited,3.9,(4.3k)
180,State Street Corporation,3.5,(4.3k)
181,Bajaj Auto,3.8,(4.3k)
182,Hindalco Industries,4.2,(4.2k)
183,LG Electronics,3.8,(4.2k)
184,Kogta Financial India Limited,4.6,(4.2k)
185,HDFC ERGO General Insurance,4.0,(4.2k)
186,DCB Bank,3.8,(4.1k)
187,Royal Enfield,4.2,(4.1k)
188,John Deere,4.0,(4.1k)
189,RBL Bank,3.5,(4.1k)
190,Tata Communications,3.8,(4.1k)
191,Publicis Sapient,3.2,(4.1k)
192,Cummins,4.3,(4.1k)
193,Alembic Pharmaceuticals,3.9,(4k)
194,Cloudnine Hospital,4.5,(4k)
195,Bank of America,4.1,(4k)
196,Pidilite Industries,4.2,(4k)
197,Grasim Industries,4.0,(4k)
198,Aditya Birla Sun Life Insurance,4.0,(4k)
199,Oyo Rooms,2.9,(4k)
