,mnc,rating,reviews
1787,Cyfuture,2.9,(624)
1788,Okaya Power,3.7,(624)
1789,Renovision Automation Services,3.3,(624)
1790,CSM Technologies,3.9,(624)
1791,Karvy Stock Broking,3.6,(623)
1792,Shivam Autotech,3.5,(623)
1793,Mrs Bector's Food Specialities,3.8,(623)
1794,The Saraswat Co-operative Bank,3.2,(622)
1795,Fiem Industries,3.7,(622)
1796,Sintex Industries,3.9,(622)
1797,EaseMyTrip.com,4.0,(621)
1798,Mavenir Systems,3.3,(621)
1799,Becton Dickinson,3.9,(621)
1800,BMC Software,3.9,(620)
1801,Family Health Plan,3.7,(620)
1802,Rocket India,4.0,(620)
1803,Super Smelters,3.7,(620)
1804,ThoughtWorks,3.9,(619)
1805,Hpl Electric & Power,3.7,(619)
1806,C5i,4.3,(618)
1807,Toyoda Gosei Minda,4.2,(618)
1808,IKEA,4.0,(618)
1809,BT E Serv,3.9,(618)
1810,AgroStar,4.0,(618)
1811,Heidelberg Cement,4.0,(618)
1812,Ongc Petro Additions,4.0,(617)
1813,DHL Global Forwarding,3.8,(616)
1814,Anmol Industries,3.9,(616)
1815,ITC Limited Foods Division,3.9,(616)
1816,Netmeds.com,3.9,(616)
1817,Jayaswal Neco Industries Limited,4.1,(616)
1818,Gestamp,3.7,(616)
1819,Hitachi Systems Micro Clinic,4.0,(614)
1820,CSG International,3.5,(614)
1821,Consulting Engineers Group,4.0,(614)
1822,HLL Lifecare,3.7,(613)
1823,Pinnacle,3.4,(613)
1824,Bharat Biotech International,3.1,(613)
1825,Ofbusiness,2.9,(613)
1826,VDA Infosolutions,3.8,(612)
1827,APL Apollo Tubes,4.1,(612)
1828,Jain Irrigation Systems,3.7,(611)
1829,Grab A Grub Services,4.0,(611)
1830,Royal Caribbean International,4.1,(610)
1831,Lulu International Shopping Mall,3.7,(610)
1832,FNP,3.7,(610)
1833,Holiday Inn,3.9,(609)
1834,EdgeVerve Systems,3.2,(609)
1835,Jaipur Rugs,4.2,(608)
1836,United Colors of Benetton,4.4,(608)
1837,BAXY Limited,4.0,(608)
1838,Carnival Cruise Lines,4.1,(608)
1839,Blackberrys,3.7,(607)
1840,MothersonSumi INfotech & Designs,3.4,(607)
1841,Blackberrys,3.7,(607)
1842,Laxmi Organic Industries,3.6,(607)
1843,Hettich,3.6,(606)
1844,Expleo Group,3.5,(606)
1845,Pathkind Diagnostics Private Limited,3.9,(606)
1846,Accion Labs,3.5,(606)
1847,DealShare,3.6,(606)
1848,Infotact Solutions,4.4,(605)
1849,Aurionpro Solutions,3.4,(604)
1850,Vedang Cellular Services,3.8,(604)
1851,Orra Fine Jewellery,3.5,(604)
1852,Dhani Services,3.6,(603)
1853,Allianz Services,4.0,(603)
1854,Iron Mountain Inc,3.7,(603)
1855,SIS Prosegur Holdings,3.5,(603)
1856,Polaris Consulting,4.2,(602)
1857,Maxicus,3.9,(601)
1858,Kauvery Hospital,3.9,(601)
1859,Inspira Enterprise India Limited,3.6,(600)
1860,NLC India Limited,4.4,(599)
1861,Dr. Reddy's Foundation,3.7,(599)
1862,Colt Technology Services,4.2,(598)
1863,Medley Pharmaceuticals,3.8,(598)
1864,Apitoria Pharma,4.2,(598)
1865,IDP Education Limited,3.6,(598)
1866,IKF Finance,4.0,(597)
1867,Ascent HR Technologies Private Limited,3.6,(596)
1868,Ambit Finvest,4.0,(596)
1869,Bridge & Roof Co,3.4,(596)
1870,Vadilal Industries,4.2,(596)
1871,Excitel Broadband,3.7,(596)
1872,Premier Energies,4.0,(596)
1873,HUDL,3.2,(596)
1874,Fenesta Building Systems,4.0,(595)
1875,QSpiders,3.7,(595)
1876,Ugam Solution,3.5,(594)
1877,Cvent,3.2,(594)
1878,ArcelorMittal,4.0,(594)
1879,Affinity Express,2.8,(594)
1880,ShareChat,3.6,(594)
1881,Saudi Aramco,4.4,(594)
1882,Columbia Asia,4.6,(594)
1883,Coal India,3.9,(593)
1884,Efs Facilities Services,3.8,(593)
1885,Maharashtra State Electricity Distribution Company,4.3,(592)
1886,Pamac Finserve,3.1,(592)
1887,Country Delight,3.9,(592)
1888,Magma General Insurance Limited,3.7,(592)
1889,Jubilant Generics,3.9,(591)
1890,PayU Payments,3.3,(591)
1891,PTC,4.2,(591)
1892,PureSoftware,2.9,(591)
1893,Congruex Asia Pacific,3.7,(591)
1894,Kellogg,4.2,(590)
1895,Crystal Crop Protection,3.9,(590)
1896,Gandhi Automations,3.9,(590)
1897,Jindal Poly Films,3.6,(591)
1898,Capital Numbers Infotech,4.1,(589)
1899,SAEL Industries Limited,3.9,(589)
1900,Prochant,3.8,(589)
1901,Empower,4.0,(589)
1902,AVTEC,3.5,(588)
1903,Alcon,3.8,(588)
1904,Damco Solutions,3.4,(588)
1905,McCain Foods,4.0,(588)
1906,Axiscades,3.1,(587)
1907,Army Public School,4.0,(587)
1908,Voyants Solutions,3.6,(586)
1909,Equifax,4.0,(586)
1910,Titan Engineering & Automation,3.8,(586)
1911,Quest Retail Private Limited,3.9,(586)
1912,Sandoz,4.0,(585)
1913,Vishwa Samudra Engineering,3.6,(585)
1914,Hilton,4.1,(585)
1915,Maxop Engineering Co.,4.1,(585)
1916,Prestige Group,4.3,(585)
1917,smartData Enterprises,3.9,(584)
1918,Paramount Health Services Tpa,3.9,(584)
1919,J K Fenner,3.8,(584)
1920,Matrimonialsindia,4.9,(584)
1921,Wood Group,3.7,(584)
1922,BEML,3.6,(583)
1923,MR.DIY,3.4,(583)
1924,UTL Solar,3.6,(582)
1925,Genesys International Corporation,3.1,(582)
1926,Toyota Industries Engine India,4.3,(581)
1927,Paytm Payments Services,3.2,(581)
1928,Baker Hughes,4.0,(580)
1929,Unified Mentor,4.1,(580)
1930,Dishman Carbogen Amcis,3.6,(580)
1931,GAMMON INDIA,3.8,(580)
1932,Andritz Hydro Location India,3.9,(580)
1933,Icl Fincorp,4.7,(580)
1934,Applied Materials,3.7,(579)
1935,AVIOM,4.0,(579)
1936,Mahendra NextWealth IT,3.3,(578)
1937,Lear Corporation,4.0,(578)
1938,TSYS|Total System Services,4.1,(578)
1939,Hitachi Cash Management Services,3.2,(578)
1940,Datamatics Business Solutions,3.3,(578)
1941,Marelli,3.5,(577)
1942,Transport Corporation Of India,3.7,(577)
1943,Paras Dairy,3.4,(577)
1944,BUSINESSNEXT,3.4,(577)
1945,NAV Backoffice,3.8,(576)
1946,HBL Power Systems,4.0,(576)
1947,Western Refrigeration,3.8,(576)
1948,WayCool Foods and Products,3.4,(575)
1949,AM Infoweb,3.8,(575)
1950,Larsen & Toubro Group,4.0,(574)
1951,Vindhya e-Info Media,3.9,(574)
1952,DB Schenker,4.3,(574)
1953,Levi Strauss & Co.,4.2,(574)
1954,Amway India Enterprises,4.1,(573)
1955,Bajaj Consumer Care,3.8,(573)
1956,FiveS Digital,3.3,(573)
1957,Kirloskar Pneumatic,4.0,(572)
1958,"DATAMARK, Inc.",3.5,(572)
1959,SoftAge Information Technology,3.6,(572)
1960,Navin Fluorine International,3.8,(572)
1961,Navin Fluorine International,3.8,(572)
1962,AVEVA,4.0,(572)
1963,Solara Active Pharma Sciences,3.7,(572)
1964,MITS Global Consulting,4.5,(570)
1965,WPP Media,3.6,(569)
1966,LendingKart,3.6,(569)
1967,Innovaccer,2.7,(568)
1968,Renault,3.9,(568)
1969,Micromax Informatics,3.9,(567)
1970,My Home Constructions,4.3,(566)
1971,Haldiram Snacks,3.8,(566)
1972,Carlsberg,3.9,(566)
1973,The Times of India,3.6,(565)
1974,GSPANN Technologies,4.0,(565)
1975,Amara Raja Infra,4.0,(565)
1976,Virtual Employee,3.2,(565)
1977,Craftsman Automation,3.7,(565)
1978,Allianz Partners,3.7,(565)
1979,United Spirits,4.0,(564)
1980,Kellogg Brown and Root,4.1,(564)
1981,Kellogg Brown and Root,4.1,(564)
1982,L & W Constructions,4.0,(564)
1983,Macawber Beekay,4.2,(563)
1984,Vimta Labs,3.4,(563)
1985,Innominds Software,3.2,(563)
1986,Sulzer,3.9,(563)
1987,Hitachi Systems,3.9,(563)
1988,BLK Super Speciality Hospital,3.9,(561)
1989,MUTHOOT HOMEFIN (I) LTD.,3.8,(561)
1990,Roop Polymers,4.0,(560)
1991,Bharat Fritz Werner,3.9,(560)
1992,Artemis Hospitals,4.1,(560)
1993,Unimoni,3.9,(559)
1994,Practo,2.9,(559)
1995,Saksoft,3.4,(559)
1996,Enco Engineers Combine,3.7,(559)
1997,Innovatiview India Ltd,4.2,(559)
1998,Herbalife International,4.0,(559)
1999,RAK Ceramics,3.8,(558)
2000,Courtyard by Marriott,4.2,(557)
2001,Welspun Enterprises,4.2,(557)
2002,Fena,4.0,(555)
2003,Regalix,2.6,(556)
2004,Legrand,3.7,(555)
2005,Indecomm Global Services,4.1,(554)
2006,Tracxn,2.6,(554)
2007,BOBCARD Ltd.,4.0,(554)
2008,Propertypistol Realty,3.8,(554)
2009,ThoughtSol Infotech Limited,4.6,(554)
2010,Ralson Tyres Limited,3.7,(554)
2011,Offshore Infrastructures,4.0,(554)
2012,Brigade Group,4.1,(553)
2013,RuralShores,3.6,(553)
2014,Z X Learning,4.3,(553)
2015,Yokohama,3.6,(552)
2016,Kidzee,4.0,(552)
2017,National Australia Bank,3.0,(552)
2018,Eicher Motors,4.1,(551)
2019,Inox Wind,3.7,(551)
2020,General Motors,4.0,(551)
2021,RadiSys,3.8,(551)
2022,General Motors,4.0,(551)
2023,Hi Tech Gears,4.0,(551)
2024,Zolo,3.4,(551)
2025,Vidal Health Insurance,3.6,(551)
2026,Scaler Academy,3.5,(551)
2027,DFM Foods,4.0,(551)
2028,Sterling,3.9,(550)
2029,Micron Electricals,4.0,(550)
2030,Sanmina Sci,4.1,(550)
2031,FMC Corporation,3.9,(549)
2032,GUS Education India,3.1,(549)
2033,Maini Precision Products,3.4,(549)
2034,Gayatri Projects,3.9,(548)
2035,NMDC Limited,4.1,(547)
2036,Reliance Life Sciences,3.7,(547)
2037,Dusters Total Solutions Services,4.0,(546)
2038,Bharat Gears,4.0,(546)
2039,Zycus Infotech,2.5,(546)
2040,ExxonMobil,3.7,(546)
2041,Pierian Services,3.2,(546)
2042,Aptus Value Housing Finance India,4.0,(546)
2043,Utility Powertech,3.9,(546)
2044,Insolutions Global,3.3,(546)
2045,Head Field Solutions,4.3,(545)
2046,Voya India,3.6,(545)
2047,Maxgen Technologies,4.5,(545)
2048,Emaar India Limited,3.5,(544)
2049,Vedanta Resources,3.6,(544)
2050,Canon,4.0,(544)
2051,Hafele,3.9,(543)
2052,Adda 247,3.4,(543)
2053,Pitti Engineering,3.7,(543)
2054,Mobikwik,3.4,(542)
2055,Dr. Agarwal's Eye Hospital,3.7,(542)
2056,5paisa Capital Ltd.,4.1,(542)
2057,RMC Readymix,3.6,(541)
2058,Mecon,3.8,(541)
2059,Spectrum Talent Management,3.6,(541)
2060,Suprajit Engineering,3.8,(541)
2061,PC Solutions,4.4,(540)
2062,Castrol,4.3,(540)
2063,Cpf India,4.0,(540)
2064,Capital Business Systems,3.5,(540)
2065,Dhani Healthcare,3.4,(540)
2066,S P Singla Constructions,3.4,(539)
2067,Insuremile,4.7,(539)
2068,N.C.L. Industries,3.7,(539)
2069,Hamdard,3.9,(539)
2070,Tuaman Engineering,4.3,(539)
2071,V.S.T Tillers Tractors,3.5,(539)
2072,RSB Transmissions,3.9,(538)
2073,Consero Global Solutions,3.0,(537)
2074,CompuCom,3.8,(537)
2075,Systra Consulting,4.0,(537)
2076,Chemplast Sanmar,3.4,(537)
2077,RSM India,3.3,(537)
2078,OutworX,3.5,(536)
2079,Infiniti Research,3.3,(536)
2080,Satyam Auto Components,3.8,(536)
2081,Atomberg Technologies,3.8,(536)
2082,Vestige,4.3,(535)
2083,Statusneo,4.1,(535)
2084,Bharti Infratel,4.7,(535)
2085,Uttar Pradesh Power Corporation,4.0,(535)
2086,CDK Global,3.8,(534)
2087,Wellness Forever Medicare,3.8,(534)
2088,House Of Anita Dongre,3.9,(534)
2089,SunTec Web Services,3.2,(533)
2090,Metro Group of Hospitals,3.8,(533)
2091,F1 Info Solutions and Services,3.6,(533)
2092,Sheela Foam,4.0,(533)
2093,Stylebaazar,3.9,(533)
2094,Wockhardt Hospital,3.8,(532)
2095,Alight Solutions,3.2,(531)
2096,Galaxy Surfactants,3.9,(531)
2097,Stock Holding Corporation of India,3.6,(531)
2098,Kokilaben Dhirubhai Ambani Hospital,3.8,(531)
2099,BharatPe,3.4,(531)
2100,Metalman Auto,3.9,(531)
2101,DM Immigration Consultant,1.0,(530)
2102,Morepen Laboratories,3.8,(530)
2103,EC-Council,4.0,(530)
2104,Williams Lea,3.6,(530)
2105,Chaayos,3.3,(530)
2106,Coats,3.6,(530)
2107,India Private Driver,,
2108,Macquarie Group,3.1,(529)
2109,Webskitters,3.6,(529)
2110,African Industries,4.0,(529)
2111,Hitech Projects Limited,4.6,(529)
2112,Dalmia Bharat Group,3.8,(529)
2113,Metriqe Solutions,3.9,(529)
2114,JK Tech,3.8,(528)
2115,FinThrive,3.4,(528)
2116,Addverb Technologies,3.5,(528)
2117,TÜV Rheinland,4.1,(527)
2118,Ramraj Cotton,4.1,(527)
2119,Amar Ujala,3.8,(526)
2120,CTS Consulting & Technical Support,3.7,(526)
2121,Jindal Power Limited,4.2,(526)
2122,Lakme,4.2,(526)
2123,Telenor,4.1,(525)
2124,AT&T,3.7,(525)
2125,Foray Software,3.5,(525)
2126,Hero Cycles,3.2,(524)
2127,Walkaroo International,3.6,(524)
2128,Ge India Industrial,4.2,(523)
2129,HSBC Global Banking and Markets,3.9,(523)
2130,LearningMate Solutions,2.9,(523)
2131,Tradeshala,4.5,(522)
2132,ACTE,4.6,(522)
2133,Kalyani Technoforge,3.8,(522)
2134,Safari Industries India,4.0,(522)
2135,Vivanta by Taj,4.2,(522)
2136,Ascent Business Solutions,3.4,(522)
2137,Muthoot MCred,3.5,(522)
2138,PEGATRON,3.9,(521)
2139,Ziqitza Health Care,3.8,(521)
2140,Alchemy Techsol India,3.4,(521)
2141,Axa XL,3.7,(521)
2142,CMR Green Technologies,3.4,(521)
2143,Great Learning,3.4,(521)
2144,Kandhari Beverages,3.7,(521)
2145,Micron Technology,3.7,(521)
2146,ATS Infrastructure,4.1,(520)
2147,Signature Global,3.8,(520)
2148,MindGate Solutions,3.1,(519)
2149,Karvy Data Management Services,4.0,(519)
2150,Akal Information Systems,4.4,(519)
2151,Hindusthan National Glass,3.8,(519)
2152,ServiceNow,3.8,(518)
2153,MathCo,3.1,(518)
2154,BCG,3.6,(518)
2155,Mobile Programming,2.8,(518)
2156,OMICS International,2.5,(517)
2157,BKT Tyres,4.2,(517)
2158,ZEISS India,3.7,(517)
2159,Nivea,4.1,(517)
2160,DiGibizz,,
2161,Sarovar Hotels & Resorts,4.1,(516)
2162,Securitas,3.8,(516)
2163,Quikr,3.6,(515)
2164,Johnson Matthey,3.8,(515)
2165,Gyan Dairy,4.0,(515)
2166,Deloitte Digital,3.8,(515)
2167,TRINAMIX,4.4,(515)
2168,QHTalbros,3.8,(514)
2169,RapiPay,3.6,(514)
2170,Cuemath,3.4,(514)
2171,Aparna Enterprises,3.9,(514)
2172,Mars International India,4.2,(514)
2173,Ministry of Defence,4.4,(513)
2174,Bluestone.com,3.3,(513)
2175,InCred Finance,3.9,(513)
2176,Rusan Pharma,3.5,(513)
2177,Yardi Systems,3.6,(513)
2178,Poorvika Mobiles,3.9,(513)
2179,QUICK HEAL TECHNOLOGIES,3.6,(512)
2180,Voltech,3.5,(512)
2181,Epiroc,4.0,(512)
2182,Lotus Herbals Private Limited,4.2,(512)
2183,Vishvaraj Environment,4.1,(511)
2184,Communications Test Design,3.7,(511)
2185,Rakuten,3.5,(511)
2186,LIC Housing Finance,3.9,(511)
2187,Pace Setters Business Solutions,3.4,(510)
2188,Orcapod Consulting Services,3.0,(510)
2189,Centum Learning,3.8,(510)
2190,Nelito System,3.2,(510)
2191,Markets and Markets,2.7,(510)
2192,Athenahealth Technology,3.9,(510)
2193,Protium Finance,3.7,(510)
2194,IDS Infotech,3.7,(509)
2195,Tractebel,4.1,(509)
2196,Hinduja Tech,3.1,(509)
2197,Cairn Vedanta Oil and Gas,3.7,(509)
2198,Techwave Consulting,3.6,(508)
2199,Par Health,4.1,(508)
2200,Emerson Electric Co.,4.0,(507)
2201,Sri Krishna Pharmaceuticals,3.9,(507)
2202,Pepperfry,3.0,(506)
2203,QBurst Technologies,4.2,(506)
2204,Kirby Building Systems,3.9,(505)
2205,ASM Technologies,3.5,(505)
2206,CARE,4.3,(504)
2207,Leighton Contractors,4.0,(504)
2208,2COMS,3.1,(504)
2209,MediBuddy,3.3,(504)
2210,Global Autotech,3.9,(504)
2211,Varuna Integrated Logistics,3.7,(504)
2212,BharatMatrimony.com,3.9,(504)
2213,Gilbarco Veeder Root,3.7,(503)
2214,Value Point Systems,3.5,(502)
2215,Romsons Group Of Industries,3.7,(502)
2216,EID Parry (India),3.9,(502)
2217,Moon Beverages,3.8,(502)
2218,N+A,3.8,(502)
2219,Vakrangee,3.6,(501)
2220,India Post,3.7,(501)
2221,Iol Chemicals & Pharmaceuticals,3.8,(501)
2222,TAO Digital,3.5,(501)
2223,KRBL Limited,3.8,(501)
2224,Welspun Transformation Services Limited,4.1,(500)
2225,CollegeDekho,2.7,(500)
2226,Mahanagar Gas,4.2,(500)
2227,Invesco,3.6,(500)
2228,Infovision,3.6,(500)
2229,LogixHealth,3.4,(500)
2230,Texmo Industries,3.8,(499)
2231,Flowserve,3.7,(499)
2232,Buzzworks Business Services,3.6,(499)
2233,House of EdTech,4.3,(499)
2234,Future Lifestyle Fashion,4.2,(498)
2235,L. N. Malviya Infra Projects Group,3.1,(498)
2236,Otsuka Pharmaceutical India Private Limited,4.1,(498)
2237,Kellton,2.9,(498)
2238,Symbiotec Pharmalab,4.0,(498)
2239,Medikabazaar,4.2,(498)
2240,Knowledgeworks Global,2.9,(498)
2241,Cosmo Films,3.7,(497)
2242,Everforth Quinnox,3.9,(497)
2243,Sterling Holiday Resort,3.8,(497)
2244,Allana Group of Companies,3.7,(497)
2245,Encube Ethicals,3.7,(497)
2246,Visa,3.3,(496)
2247,Comcast,3.9,(496)
2248,C-Edge Technologies,3.7,(496)
2249,Maersk Line,4.0,(496)
2250,Siemens Healthineers,3.9,(496)
2251,India Glycols,4.0,(496)
2252,GD Goenka Public School,3.4,(496)
2253,Think Gas Ludhiana,3.6,(496)
2254,Equiniti,3.6,(496)
2255,SUEZ Group,4.2,(496)
2256,Namaste India Foods,3.9,(495)
2257,HealthifyMe,2.7,(495)
2258,Realty Assistant,3.6,(495)
2259,NJ India Invest,3.7,(495)
2260,Paradeep Phosphates,3.8,(494)
2261,Paradeep Phosphates,3.8,(494)
2262,Titagarh Rail Systems,2.6,(494)
2263,WM Universal Solutions Private Limited,3.6,(494)
2264,Saxo Bank,3.7,(493)
2265,Mediamint,2.8,(493)
2266,Brainvire,2.8,(493)
2267,Ppap Automotive,3.8,(493)
2268,Lite Bite Foods,4.4,(493)
2269,Jiva Ayurvedic Pharmacy,3.7,(492)
2270,Bira 91,3.3,(492)
2271,Fynd,2.9,(492)
2272,AIG Hospital,4.2,(492)
2273,Giesecke & Devrient,3.4,(491)
2274,Jumbotail Technologies,3.6,(491)
2275,Aditya Birla Housing Finance,3.8,(491)
2276,Matrix Business Services,3.5,(490)
2277,SBI Mutual Fund,3.7,(490)
2278,Grindwell Norton,3.6,(489)
2279,Aludecor Lamination,3.8,(489)
2280,Alpla,3.9,(489)
2281,Thales,3.6,(488)
2282,Numeric UPS,4.0,(488)
2283,Plastic Omnium,3.7,(488)
2284,Mediterranean Shipping Company,4.0,(488)
2285,Akamai Technologies,4.4,(488)
2286,NTPC GE Power Services,3.9,(488)
2287,Technico Industries,3.6,(487)
2288,TresVista,2.3,(487)
2289,Go First,3.9,(487)
2290,Common Service Centres,4.4,(487)
2291,Clix Capital Services,4.0,(487)
2292,Juniper Networks,4.2,(487)
2293,RND Softech,3.1,(487)
2294,Bridgestone India Automotive Products,4.1,(487)
2295,Trimax IT Infrastructure Services,3.7,(486)
2296,Ivrcl Infrastructures & Projects,4.3,(486)
2297,Cadbury,4.3,(486)
2298,Clove Dental,4.0,(486)
2299,ZF Friedrichshafen,3.8,(486)
2300,National Commodities Management Services,4.0,(486)
2301,ESDS Software Solutions,3.3,(486)
2302,Westin,4.0,(485)
2303,Xerox,3.7,(485)
2304,Sadbhav Engineering,4.2,(485)
2305,Gopal Snacks Limited,4.2,(485)
2306,Xanadu,3.6,(484)
2307,Godrej Interio,3.9,(484)
2308,Sany Heavy Industry,3.7,(484)
2309,Honda Logistics,3.6,(484)
2310,Avalara Technologies,2.7,(484)
2311,Saud Bahwan Group,3.7,(483)
2312,Onshore Construction,3.7,(483)
2313,MKC Infrastructure Ltd.,3.4,(483)
2314,Dow Chemical International Private Limited,3.5,(483)
2315,Jindal Aluminium,3.9,(482)
2316,Landis+Gyr,2.9,(482)
2317,Avery Dennison,3.7,(482)
2318,Tetra Pak,4.1,(482)
2319,Mikuni,4.1,(482)
2320,Meghmani Organics,3.8,(482)
2321,Cloud4C,3.5,(482)
2322,Confidence Petroleum India,3.2,(482)
2323,Thought Focus,3.2,(482)
2324,Keysight Technologies,3.8,(481)
2325,Suzlon Global Services,3.8,(481)
2326,Bhilosa Industries,3.6,(481)
2327,Nash Industries,3.4,(481)
2328,Teradata,3.5,(480)
2329,CS TECH Ai,3.9,(480)
2330,Cera Sanitaryware,4.0,(480)
2331,Speridian Technologies,3.5,(479)
2332,Paharpur Cooling Towers,3.9,(479)
2333,Atyati Technologies,3.9,(479)
2334,Star Bazaar,3.7,(479)
2335,Purplle.com,3.6,(479)
2336,Kaynes Technology,3.2,(478)
2337,Ramco Industries,4.1,(478)
2338,Riya Travel,3.6,(478)
2339,Central Public Works Department,4.1,(478)
2340,Shalimar Paints,3.5,(478)
2341,Tata International,3.5,(477)
2342,Liberty General Insurance,3.6,(477)
2343,Prime Focus Technologies,3.0,(477)
2344,GM Modular,3.8,(477)
2345,Visaka Industries,3.8,(478)
2346,Gulf Oil Lubricants,4.1,(477)
2347,Greenpanel Industries,3.9,(477)
2348,Sayaji Hotels,4.1,(477)
2349,Allied Blenders & Distillers,4.0,(476)
2350,Grant Thornton Bharat,3.4,(476)
2351,Henkel Adhesives Technologies,4.1,(476)
2352,Yethi Consulting,3.4,(476)
2353,McNally Bharat Engineering,3.9,(476)
2354,MagicPin,2.5,(476)
2355,LuLu Group International,3.4,(476)
2356,Hyundai Glovis,3.6,(476)
2357,Qcon,4.3,(476)
2358,NBTC GROUP,3.4,(476)
2359,AIRBUS,3.6,(475)
2360,Anthem Biosciences,3.9,(475)
2361,Bahwan Engineering,4.0,(475)
2362,In Time Tec Visionsoft,3.2,(475)
2363,Stryker,3.8,(475)
2364,Jupiter Hospital,3.9,(475)
2365,Dana India,4.0,(474)
2366,Espire Infolabs,2.3,(473)
2367,Oriental Structural Engineers,4.3,(473)
2368,Symphony,4.6,(473)
2369,British Council,3.5,(472)
2370,Stovekraft,3.9,(472)
2371,Magneti Marelli Motherson Auto System,3.9,(472)
2372,Bharat Seats,3.7,(472)
2373,LT Foods,3.8,(471)
2374,GHCL Limited,3.9,(471)
2375,Seoyon E-hwa Automotive,3.5,(471)
2376,CommScope,3.8,(471)
2377,Bandhan Life,3.2,(471)
2378,iNurture Education Solutions,2.5,(471)
2379,Zypp Electric,4.0,(471)
2380,Kiswok Industries,3.3,(471)
2381,Revent Group,3.8,(471)
2382,Bandhan Life,3.2,(471)
2383,Realme,3.6,(471)
2384,Bhagwati Products,3.5,(470)
2385,Texmaco Rail and Engineering,3.8,(470)
2386,Gaurs Group,4.2,(470)
2387,Loadshare Networks,3.5,(470)
2388,Torrent Gas,3.1,(470)
2389,Pratham Education Foundation,4.2,(469)
2390,Mymd Healthcare,4.2,(469)
2391,Mahle Anand Thermal Systems,4.1,(469)
2392,Dharampal Premchand,4.3,(469)
2393,Paper Boat(Hector Beverages Pvt. Ltd.),3.9,(468)
2394,NKG Infrastructure,3.2,(468)
2395,Kyungshin Industrial Motherson,3.3,(467)
2396,Sulekha.com,3.3,(467)
2397,Anunta Technology Management Services,3.3,(467)
2398,Venky's,3.7,(467)
2399,Pocket FM,2.7,(467)
2400,Iksula,3.1,(466)
2401,Gokaldas Exports,3.9,(466)
2402,Aimil Pharmaceuticals,3.6,(466)
2403,SBI Capital Markets,3.7,(466)
2404,Aizant Drug Research Solutions,4.2,(466)
2405,Balmer Lawrie,3.5,(466)
2406,SISL Infotech,3.5,(465)
2407,Synopsys,3.5,(465)
2408,Del Monte Foods,4.0,(465)
2409,SMEC,3.7,(465)
2410,Eurokids,4.0,(465)
2411,Kolte Patil Developers,4.1,(465)
2412,Puravankara,3.4,(465)
2413,Caresoft Global,3.3,(465)
2414,Sahyadri Hospital,4.2,(465)
2415,Novotel Hotels,4.0,(465)
2416,St. Xavier's High School,3.7,(465)
2417,AQM Technologies,3.1,(465)
2418,Emergys,3.4,(464)
2419,RPG Life Sciences,3.6,(464)
2420,Willis Towers Watson,3.7,(464)
2421,Ergode,3.2,(464)
2422,Indofil Industries,4.1,(464)
2423,Essjay Ericsson,4.2,(463)
2424,Subex,3.4,(463)
2425,Flamingo Pharmaceuticals,3.1,(463)
2426,Bada Business,4.0,(463)
2427,Prodair Air Products,3.7,(462)
2428,Honour Lab,3.9,(462)
2429,Yusen Logistics,4.0,(461)
2430,Polestar Analytics,4.1,(461)
2431,Orion Innovation,3.5,(461)
2432,Railtel Corporation Of India,3.6,(461)
2433,Ashapura Group Of Industries,4.1,(461)
2434,ITI,3.7,(460)
2435,Saudi Binladin Group,4.2,(460)
2436,CodeClouds,3.9,(460)
2437,Red Hat,4.4,(460)
2438,Birla White,4.0,(460)
2439,Vision India Services,4.0,(460)
2440,Miracle Software Systems,3.8,(459)
2441,Bharat Bijlee,4.2,(459)
2442,Allegis Group,3.5,(459)
2443,JNS Instruments,3.9,(459)
2444,Kataria Automobiles,3.6,(459)
2445,HealthKart,3.9,(458)
2446,B. Braun Medical,4.1,(458)
2447,Nuvama Wealth and Investment,3.3,(458)
2448,Haleon,3.5,(458)
2449,Tutopia,4.5,(457)
2450,Rapido,3.5,(457)
2451,Neilsoft,3.0,(457)
2452,ELGI Equipments,4.0,(457)
2453,Echobooom Management & Entrepreneurial Solutions,4.0,(457)
2454,Flatworld Solutions,3.3,(457)
2455,SirionLabs,3.9,(457)
2456,TruBridge Healthcare Private Limited,3.8,(457)
2457,ByteDance,4.1,(457)
2458,Prism Cement,4.1,(456)
2459,Rieter,3.4,(456)
2460,Corona Remedies,4.2,(456)
2461,Prism Cement,4.1,(456)
2462,LKQ INDIA,3.3,(456)
2463,Go Colors,3.9,(455)
2464,NetApp,3.6,(456)
2465,Freecharge,3.7,(455)
2466,Midland Microfin Limited,3.5,(455)
2467,Khadims,3.6,(455)
2468,Cipla Health,4.2,(455)
2469,Brembo Brake India,4.0,(455)
2470,Godrej Jersey,4.1,(455)
2471,OLX Autos,3.9,(454)
2472,Ozone Overseas,3.9,(454)
2473,Zscaler Softech,3.3,(455)
2474,AVAYA,3.2,(454)
2475,Ciena,3.9,(454)
2476,Majesco,2.9,(454)
2477,Toyota,4.1,(453)
2478,BSCPL Infrastructure,3.9,(453)
2479,Reliance Infrastructure,4.1,(453)
2480,Portea Medical,3.7,(453)
2481,Portea Medical,3.7,(453)
2482,Vijai Electricals,3.6,(452)
2483,Usha Martin,4.0,(452)
2484,The Indian Hotels Company,4.0,(453)
2485,Mjunction Services,3.8,(451)
2486,Bajaj Auto Credit,3.9,(451)
2487,Fuji Electric,3.6,(450)
2488,Tata Steel Downstream Products,3.6,(450)
